,total_like_count
2020-11-21,15.0
2020-11-23,3.0
2020-11-24,5.0
2020-11-25,5.0
2020-11-26,19.0
2020-11-27,6.0
2020-11-29,43.0
2020-11-30,24.0
2020-12-01,72.0
2020-12-02,118.0
2020-12-03,120.0
2020-12-04,94.0
2020-12-05,49.0
2020-12-06,1.0
2020-12-07,112.0
2020-12-08,631.0
2020-12-09,462.0
2020-12-10,193.0
2020-12-11,195.0
2020-12-12,114.0
2020-12-13,5.0
2020-12-14,162.0
2020-12-15,165.0
2020-12-16,245.0
2020-12-17,115.0
2020-12-18,37.0
2020-12-19,139.0
2020-12-20,9.0
2020-12-21,165.0
2020-12-22,365.0
2020-12-23,456.0
2020-12-24,147.0
2020-12-25,165.0
2020-12-26,3.0
2020-12-27,83.0
2020-12-28,1073.0
2020-12-29,688.0
2020-12-30,220.0
2020-12-31,393.0
2021-01-01,99.0
2021-01-02,25.0
2021-01-03,0.0
2021-01-04,709.0
2021-01-05,447.0
2021-01-06,1478.0
2021-01-07,1330.0
2021-01-08,716.0
2021-01-09,119.0
2021-01-10,717.0
2021-01-11,114.0
2021-01-12,448.0
2021-01-13,326.0
2021-01-14,834.0
2021-01-15,559.0
2021-01-16,43.0
2021-01-17,82.0
2021-01-18,121.0
2021-01-19,776.0
2021-01-20,772.0
2021-01-21,1781.0
2021-01-22,704.0
2021-01-23,190.0
2021-01-24,6.0
2021-01-25,22.0
2021-01-26,11.0
2021-01-27,21.0
2021-01-28,123.0
2021-01-29,278.0
2021-01-30,17.0
2021-01-31,4.0
2021-02-01,351.0
2021-02-02,474.0
2021-02-03,81.0
2021-02-04,29.0
2021-02-05,166.0
2021-02-06,316.0
2021-02-07,2.0
2021-02-08,16.0
2021-02-09,2.0
2021-02-10,0.0
2021-02-14,8.0
2021-02-15,4.0
2021-02-17,232.0
2021-02-18,843.0
2021-02-19,512.0
2021-02-20,30.0
2021-02-21,68.0
2021-02-22,119.0
2021-02-23,492.0
2021-02-24,16.0
2021-02-25,12.0
2021-02-26,42.0
2021-02-27,0.0
2021-02-28,15.0
2021-03-01,31.0
2021-03-02,230.0
2021-03-03,56.0
2021-03-04,32.0
2021-03-05,11.0
2021-03-07,5.0
2021-03-08,92.0
2021-03-09,67.0
2021-03-10,14.0
2021-03-11,21.0
2021-03-12,13.0
2021-03-13,169.0
2021-03-14,270.0
2021-03-15,479.0
2021-03-16,56.0
2021-03-17,271.0
2021-03-18,114.0
2021-03-19,575.0
2021-03-20,1561.0
2021-03-21,272.0
2021-03-22,665.0
2021-03-23,1038.0
2021-03-24,491.0
2021-03-25,257.0
2021-03-26,39.0
2021-03-27,2.0
2021-03-28,167.0
2021-03-29,117.0
2021-03-30,92.0
2021-03-31,62.0
2021-04-01,309.0
2021-04-02,251.0
2021-04-03,46.0
2021-04-04,118.0
2021-04-05,373.0
2021-04-06,220.0
2021-04-07,935.0
2021-04-08,465.0
2021-04-09,1772.0
2021-04-10,313.0
2021-04-11,346.0
2021-04-12,883.0
2021-04-13,250.0
2021-04-14,237.0
2021-04-15,136.0
2021-04-16,25.0
2021-04-17,403.0
2021-04-18,169.0
2021-04-19,549.0
2021-04-20,747.0
2021-04-21,237.0
2021-04-22,1860.0
2021-04-23,1764.0
2021-04-24,1539.0
2021-04-25,898.0
2021-04-26,149.0
2021-04-27,690.0
2021-04-28,1614.0
2021-04-29,99.0
2021-04-30,101.0
2021-05-01,336.0
2021-05-02,6.0
2021-05-03,424.0
2021-05-04,945.0
2021-05-05,340.0
2021-05-06,1059.0
2021-05-07,1630.0
2021-05-08,1371.0
2021-05-09,1184.0
2021-05-10,4294.0
2021-05-11,1153.0
2021-05-12,5521.0
2021-05-13,1550.0
2021-05-14,3626.0
2021-05-15,410.0
2021-05-16,2481.0
2021-05-17,529.0
2021-05-18,1246.0
2021-05-19,787.0
2021-05-20,944.0
2021-05-21,1513.0
2021-05-22,217.0
2021-05-23,53.0
2021-05-24,675.0
2021-05-25,768.0
2021-05-26,1030.0
2021-05-27,1677.0
2021-05-28,1112.0
2021-05-29,1556.0
2021-05-30,152.0
2021-05-31,524.0
2021-06-01,1650.0
2021-06-02,909.0
2021-06-03,1219.0
2021-06-04,1245.0
2021-06-05,615.0
2021-06-06,224.0
2021-06-07,1144.0
2021-06-08,868.0
2021-06-09,369.0
2021-06-10,894.0
2021-06-11,833.0
2021-06-12,732.0
2021-06-13,151.0
2021-06-14,252.0
2021-06-15,1530.0
2021-06-16,2118.0
2021-06-17,1369.0
2021-06-18,2112.0
2021-06-19,836.0
2021-06-20,802.0
2021-06-21,2677.0
2021-06-22,1821.0
2021-06-23,3324.0
2021-06-24,1347.0
2021-06-25,905.0
2021-06-26,2394.0
2021-06-27,787.0
2021-06-28,965.0
2021-06-29,2158.0
2021-06-30,5947.0
2021-07-01,2614.0
2021-07-02,5380.0
2021-07-03,2463.0
2021-07-04,880.0
2021-07-05,4917.0
2021-07-06,3764.0
2021-07-07,5281.0
2021-07-08,2595.0
2021-07-09,2069.0
2021-07-10,303.0
2021-07-11,1299.0
2021-07-12,3696.0
2021-07-13,4192.0
2021-07-14,3661.0
2021-07-15,4470.0
2021-07-16,1775.0
2021-07-17,1073.0
2021-07-18,3800.0
2021-07-19,2569.0
2021-07-20,3880.0
2021-07-21,3434.0
2021-07-22,4420.0
2021-07-23,2358.0
2021-07-24,3019.0
2021-07-25,600.0
2021-07-26,1267.0
2021-07-27,2632.0
2021-07-28,4264.0
2021-07-29,3121.0
2021-07-30,674.0
2021-07-31,560.0
2021-08-01,42.0
2021-08-02,2073.0
2021-08-03,1141.0
2021-08-04,457.0
2021-08-05,671.0
2021-08-06,385.0
2021-08-07,175.0
2021-08-08,58.0
2021-08-09,2644.0
2021-08-10,621.0
2021-08-11,1872.0
2021-08-12,280.0
2021-08-13,434.0
2021-08-14,450.0
2021-08-15,280.0
2021-08-16,1055.0
2021-08-17,377.0
2021-08-18,815.0
2021-08-19,553.0
